,filename,threshold,data-flow,control-flow,data-flow-percentage,control-flow-percentage,crossovers,crossovers/control-flow
0,fluidanimate___1___5___in_35K.fluid.csv,1,26347,13664,65.84939141736022,34.15060858263978,384,2.810304449648712
1,fluidanimate___1___5___in_35K.fluid.csv,2,23218,16793,58.0290420134463,41.9709579865537,1021,6.079914249985112
2,fluidanimate___1___5___in_35K.fluid.csv,3,21438,18573,53.580265427007575,46.419734572992425,1624,8.743875518225382
3,fluidanimate___1___5___in_35K.fluid.csv,4,20289,19722,50.70855514733448,49.291444852665514,2244,11.378156373592942
4,fluidanimate___1___5___in_35K.fluid.csv,5,19484,20527,48.69660843268101,51.30339156731899,2652,12.919569347688412
5,fluidanimate___1___5___in_35K.fluid.csv,6,18497,21514,46.22978680862763,53.77021319137237,3006,13.972297108859348
6,fluidanimate___1___5___in_35K.fluid.csv,7,18008,22003,45.00762290370148,54.99237709629852,3312,15.052492841885199
7,fluidanimate___1___5___in_35K.fluid.csv,8,17521,22490,43.790457624153355,56.209542375846645,3653,16.24277456647399
8,fluidanimate___1___5___in_35K.fluid.csv,9,17185,22826,42.95068856064582,57.04931143935418,3938,17.252256199071233
9,fluidanimate___1___5___in_35K.fluid.csv,10,16796,23215,41.978455924620725,58.021544075379275,4301,18.52681455955201
10,fluidanimate___1___5___in_35K.fluid.csv,11,16538,23473,41.33363325085602,58.66636674914398,4477,19.072977463468664
11,fluidanimate___1___5___in_35K.fluid.csv,12,16354,23657,40.87375971607808,59.12624028392193,4670,19.740457369911653
12,fluidanimate___1___5___in_35K.fluid.csv,13,16045,23966,40.10147209517383,59.89852790482617,4852,20.245347575732286
13,fluidanimate___1___5___in_35K.fluid.csv,14,15777,24234,39.43165629451901,60.568343705481,5023,20.727077659486675
14,fluidanimate___1___5___in_35K.fluid.csv,15,15593,24418,38.97178275974107,61.02821724025893,5144,21.06642640674912
15,fluidanimate___1___5___in_35K.fluid.csv,16,15416,24595,38.52940441378621,61.4705955862138,5289,21.504370807074608
16,fluidanimate___1___5___in_35K.fluid.csv,17,15254,24757,38.1245157581665,61.8754842418335,5423,21.90491578139516
17,fluidanimate___1___5___in_35K.fluid.csv,18,15160,24851,37.88958036539952,62.11041963460049,5506,22.156050058347752
18,fluidanimate___1___5___in_35K.fluid.csv,19,15061,24950,37.64214840918748,62.35785159081253,5585,22.384769539078157
19,fluidanimate___1___5___in_35K.fluid.csv,20,14967,25044,37.407213016420485,62.592786983579515,5686,22.704040888037056
20,fluidanimate___1___5___in_35K.fluid.csv,21,14840,25171,37.089800304916146,62.910199695083854,5778,22.954987882881092
21,fluidanimate___1___5___in_35K.fluid.csv,22,14717,25294,36.78238484416785,63.21761515583214,5917,23.392899501858146
22,fluidanimate___1___5___in_35K.fluid.csv,23,14615,25396,36.527454949888785,63.472545050111215,6018,23.69664514096708
23,fluidanimate___1___5___in_35K.fluid.csv,24,14537,25474,36.33250856014596,63.66749143985404,6148,24.134411556881528
24,fluidanimate___1___5___in_35K.fluid.csv,25,14425,25586,36.052585538976786,63.94741446102322,6234,24.36488704760416
25,fluidanimate___1___5___in_35K.fluid.csv,26,14381,25630,35.94261578066032,64.05738421933968,6284,24.518142801404604
26,fluidanimate___1___5___in_35K.fluid.csv,27,14312,25699,35.77016320511859,64.22983679488141,6402,24.91147515467528
27,fluidanimate___1___5___in_35K.fluid.csv,28,14272,25739,35.670190697558176,64.32980930244183,6509,25.288472745638913
28,fluidanimate___1___5___in_35K.fluid.csv,29,14211,25800,35.51773262352853,64.48226737647147,6557,25.414728682170544
29,fluidanimate___1___5___in_35K.fluid.csv,30,14156,25855,35.38027042563295,64.61972957436704,6618,25.596596403016825
30,fluidanimate___1___5___in_35K.fluid.csv,31,14115,25896,35.27779860538352,64.72220139461649,6663,25.729842446709917
31,fluidanimate___1___5___in_35K.fluid.csv,32,14058,25953,35.13533778210992,64.86466221789009,6709,25.850576041305434
32,fluidanimate___1___5___in_35K.fluid.csv,33,14004,26007,35.00037489690335,64.99962510309665,6763,26.004537239973853
33,fluidanimate___1___5___in_35K.fluid.csv,34,13962,26049,34.89540376396491,65.10459623603509,6806,26.127682444623595
34,fluidanimate___1___5___in_35K.fluid.csv,35,13893,26118,34.72295118842318,65.27704881157682,6859,26.26158205069301
35,fluidanimate___1___5___in_35K.fluid.csv,36,13856,26155,34.6304766189298,65.36952338107021,6903,26.392659147390557
36,fluidanimate___1___5___in_35K.fluid.csv,37,13802,26209,34.49551373372323,65.50448626627677,6953,26.529054904803694
37,fluidanimate___1___5___in_35K.fluid.csv,38,13782,26229,34.44552747994302,65.55447252005699,6986,26.63464104617027
38,fluidanimate___1___5___in_35K.fluid.csv,39,13753,26258,34.37304741196171,65.6269525880383,7027,26.761367964049054
39,fluidanimate___1___5___in_35K.fluid.csv,40,13720,26291,34.29057009322437,65.70942990677564,7077,26.917956715225742
40,fluidanimate___1___5___in_35K.fluid.csv,41,13702,26309,34.24558246482217,65.75441753517782,7125,27.081987152685393
41,fluidanimate___1___5___in_35K.fluid.csv,42,13663,26348,34.148109269950766,65.85189073004923,7170,27.21269166540155
42,fluidanimate___1___5___in_35K.fluid.csv,43,13647,26364,34.1081202669266,65.8918797330734,7199,27.306175087240174
43,fluidanimate___1___5___in_35K.fluid.csv,44,13616,26395,34.030641573567266,65.96935842643273,7219,27.349876870619433
44,fluidanimate___1___5___in_35K.fluid.csv,45,13581,26430,33.9431656294519,66.0568343705481,7241,27.396897465001892
45,fluidanimate___1___5___in_35K.fluid.csv,46,13571,26440,33.918172502561795,66.08182749743821,7291,27.575642965204235
46,fluidanimate___1___5___in_35K.fluid.csv,47,13556,26455,33.88068281222664,66.11931718777336,7327,27.696087696087694
47,fluidanimate___1___5___in_35K.fluid.csv,48,13543,26468,33.8481917472695,66.1518082527305,7353,27.780716336708476
48,fluidanimate___1___5___in_35K.fluid.csv,49,13528,26483,33.810702056934346,66.18929794306567,7389,27.900917569761734
49,fluidanimate___1___5___in_35K.fluid.csv,50,13520,26491,33.79070755542226,66.20929244457774,7409,27.967989128383223
50,fluidanimate___1___5___in_35K.fluid.csv,51,13509,26502,33.763215115843145,66.23678488415685,7452,28.118632556033507
51,fluidanimate___1___5___in_35K.fluid.csv,52,13501,26510,33.74322061433106,66.25677938566893,7522,28.37419841569219
52,fluidanimate___1___5___in_35K.fluid.csv,53,13475,26536,33.67823848441678,66.3217615155832,7564,28.504672897196258
53,fluidanimate___1___5___in_35K.fluid.csv,54,13446,26565,33.605758416435485,66.39424158356452,7582,28.541313758705062
54,fluidanimate___1___5___in_35K.fluid.csv,55,13433,26578,33.57326735147834,66.42673264852166,7592,28.564978553691024
55,fluidanimate___1___5___in_35K.fluid.csv,56,13394,26617,33.47579415660693,66.52420584339308,7743,29.09043092760266
56,fluidanimate___1___5___in_35K.fluid.csv,57,13380,26631,33.440803778960785,66.55919622103922,7764,29.153993466261124
57,fluidanimate___1___5___in_35K.fluid.csv,58,13377,26634,33.43330584089376,66.56669415910625,7789,29.244574603889767
58,fluidanimate___1___5___in_35K.fluid.csv,59,13355,26656,33.378320961735525,66.62167903826447,7804,29.27671068427371
59,fluidanimate___1___5___in_35K.fluid.csv,60,13341,26670,33.34333058408937,66.65666941591063,7833,29.370078740157478
60,fluidanimate___1___5___in_35K.fluid.csv,61,13335,26676,33.328334707955314,66.6716652920447,7851,29.43094916779127
61,fluidanimate___1___5___in_35K.fluid.csv,62,13330,26681,33.31583814451026,66.68416185548975,7874,29.51163749484652
62,fluidanimate___1___5___in_35K.fluid.csv,63,13327,26684,33.308340206443226,66.69165979355677,7888,29.56078548943187
63,fluidanimate___1___5___in_35K.fluid.csv,64,13321,26690,33.29334433030917,66.70665566969085,7901,29.602847508430123
