,filename,threshold,data-flow,control-flow,data-flow-percentage,control-flow-percentage,crossovers,crossovers/control-flow
0,fluidanimate___1___5___in_35K.fluid.csv,1,26309,13694,65.76756743244256,34.23243256755744,384,2.8041478019570616
1,fluidanimate___1___5___in_35K.fluid.csv,2,23117,16886,57.78816588755843,42.211834112441565,1021,6.046428994433258
2,fluidanimate___1___5___in_35K.fluid.csv,3,21322,18681,53.30100242481814,46.69899757518186,1582,8.46849740377924
3,fluidanimate___1___5___in_35K.fluid.csv,4,20130,19873,50.3212259080569,49.678774091943104,2181,10.974689276908368
4,fluidanimate___1___5___in_35K.fluid.csv,5,19309,20694,48.26887983401245,51.731120165987555,2587,12.50120807963661
5,fluidanimate___1___5___in_35K.fluid.csv,6,18283,21720,45.70407219458541,54.29592780541459,2936,13.517495395948433
6,fluidanimate___1___5___in_35K.fluid.csv,7,17766,22237,44.41166912481564,55.58833087518437,3237,14.556819714889599
7,fluidanimate___1___5___in_35K.fluid.csv,8,17250,22753,43.12176586755993,56.87823413244006,3568,15.681448600184591
8,fluidanimate___1___5___in_35K.fluid.csv,9,16889,23114,42.21933354998375,57.78066645001625,3854,16.673877303798566
9,fluidanimate___1___5___in_35K.fluid.csv,10,16487,23516,41.21440891933105,58.78559108066895,4206,17.885694846062254
10,fluidanimate___1___5___in_35K.fluid.csv,11,16221,23782,40.549458790590705,59.450541209409295,4378,18.408880666049953
11,fluidanimate___1___5___in_35K.fluid.csv,12,15977,24026,39.93950453715971,60.060495462840294,4549,18.933655206859235
12,fluidanimate___1___5___in_35K.fluid.csv,13,15601,24402,38.99957503187261,61.00042496812739,4734,19.400049176297024
13,fluidanimate___1___5___in_35K.fluid.csv,14,15308,24695,38.26712996525261,61.73287003474739,4888,19.79348046163191
14,fluidanimate___1___5___in_35K.fluid.csv,15,15090,24913,37.722170837187214,62.27782916281279,5008,20.101954802713443
15,fluidanimate___1___5___in_35K.fluid.csv,16,14899,25104,37.24470664700147,62.75529335299852,5146,20.4987253027406
16,fluidanimate___1___5___in_35K.fluid.csv,17,14712,25291,36.77724170687198,63.22275829312801,5278,20.869083863825075
17,fluidanimate___1___5___in_35K.fluid.csv,18,14608,25395,36.517261205409596,63.48273879459041,5359,21.10257924788344
18,fluidanimate___1___5___in_35K.fluid.csv,19,14426,25577,36.062295327850414,63.937704672149586,5442,21.276928490440632
19,fluidanimate___1___5___in_35K.fluid.csv,20,14325,25678,35.80981426393021,64.1901857360698,5537,21.56320585715398
20,fluidanimate___1___5___in_35K.fluid.csv,21,14206,25797,35.512336574756894,64.4876634252431,5632,21.831995968523472
21,fluidanimate___1___5___in_35K.fluid.csv,22,14076,25927,35.1873609479289,64.81263905207109,5761,22.220079453851195
22,fluidanimate___1___5___in_35K.fluid.csv,23,14002,26001,35.00237482188836,64.99762517811163,5842,22.46836660128457
23,fluidanimate___1___5___in_35K.fluid.csv,24,13933,26070,34.829887758418124,65.17011224158188,5967,22.88837744533947
24,fluidanimate___1___5___in_35K.fluid.csv,25,13805,26198,34.50991175661826,65.49008824338175,6042,23.062829223604854
