Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
140476912316672,MOV,DATAXFER,0,0,0,0,0,R[6],W[3]
140476912316675,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
140476912319984,NOP,WIDENOP,0,0,0,0,0,R[8 3],W[]
140476912319988,PUSH,PUSH,0,0,0,1,0,R[5 6],W[6]
140476912319989,MOV,DATAXFER,0,0,0,0,0,R[6],W[5]
140476912319992,PUSH,PUSH,0,0,0,1,0,R[18 6],W[6]
140476912319994,MOV,DATAXFER,0,0,0,0,0,R[3],W[18]
140476912319997,PUSH,PUSH,0,0,0,1,0,R[17 6],W[6]
140476912319999,PUSH,PUSH,0,0,0,1,0,R[16 6],W[6]
140476912320001,PUSH,PUSH,0,0,0,1,0,R[15 6],W[6]
140476912320003,PUSH,PUSH,0,0,0,1,0,R[7 6],W[6]
140476912320004,SUB,BINARY,0,0,0,0,0,R[6],W[6 25]
140476912320008,RDTSC,SYSTEM,0,0,0,0,0,R[],W[10 8]
140476912320010,SHL,SHIFT,0,0,0,0,0,R[8],W[8 25]
140476912320014,OR,LOGICAL,0,0,0,0,0,R[10 8],W[10 25]
140476912320017,LEA,MISC,0,0,0,0,0,R[26],W[8]
140476912320024,MOV,DATAXFER,0,0,0,1,0,R[26 10],W[]
140476912320031,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140476912320038,MOV,DATAXFER,0,0,0,0,0,R[8],W[15]
140476912320041,SUB,BINARY,0,0,1,0,0,R[15 26],W[15 25]
140476912320048,MOV,DATAXFER,0,0,0,1,0,R[26 8],W[]
140476912320055,MOV,DATAXFER,0,0,0,1,0,R[26 15],W[]
140476912320062,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140476912320065,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140476912320067,MOV,DATAXFER,0,0,0,0,0,R[],W[3]
140476912320072,MOV,DATAXFER,0,0,0,0,0,R[],W[13]
140476912320078,MOV,DATAXFER,0,0,0,0,0,R[],W[7]
140476912320083,MOV,DATAXFER,0,0,0,0,0,R[],W[16]
