Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
140594635317504,MOV,DATAXFER,0,0,0,0,0,R[6],W[3]
140594635317507,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
140594635320816,NOP,WIDENOP,0,0,0,0,0,R[8 3],W[]
140594635320820,PUSH,PUSH,0,0,0,1,0,R[5 6],W[6]
140594635320821,MOV,DATAXFER,0,0,0,0,0,R[6],W[5]
140594635320824,PUSH,PUSH,0,0,0,1,0,R[18 6],W[6]
140594635320826,MOV,DATAXFER,0,0,0,0,0,R[3],W[18]
140594635320829,PUSH,PUSH,0,0,0,1,0,R[17 6],W[6]
140594635320831,PUSH,PUSH,0,0,0,1,0,R[16 6],W[6]
140594635320833,PUSH,PUSH,0,0,0,1,0,R[15 6],W[6]
140594635320835,PUSH,PUSH,0,0,0,1,0,R[7 6],W[6]
140594635320836,SUB,BINARY,0,0,0,0,0,R[6],W[6 25]
140594635320840,RDTSC,SYSTEM,0,0,0,0,0,R[],W[10 8]
140594635320842,SHL,SHIFT,0,0,0,0,0,R[8],W[8 25]
140594635320846,OR,LOGICAL,0,0,0,0,0,R[10 8],W[10 25]
140594635320849,LEA,MISC,0,0,0,0,0,R[26],W[8]
140594635320856,MOV,DATAXFER,0,0,0,1,0,R[26 10],W[]
140594635320863,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140594635320870,MOV,DATAXFER,0,0,0,0,0,R[8],W[15]
140594635320873,SUB,BINARY,0,0,1,0,0,R[15 26],W[15 25]
140594635320880,MOV,DATAXFER,0,0,0,1,0,R[26 8],W[]
140594635320887,MOV,DATAXFER,0,0,0,1,0,R[26 15],W[]
140594635320894,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140594635320897,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635320899,MOV,DATAXFER,0,0,0,0,0,R[],W[3]
140594635320904,MOV,DATAXFER,0,0,0,0,0,R[],W[13]
140594635320910,MOV,DATAXFER,0,0,0,0,0,R[],W[7]
140594635320915,MOV,DATAXFER,0,0,0,0,0,R[],W[16]
140594635320921,LEA,MISC,0,0,0,0,0,R[26],W[9]
140594635320928,MOV,DATAXFER,0,0,0,0,0,R[],W[14]
140594635320934,MOV,DATAXFER,0,0,0,0,0,R[],W[12]
140594635320940,MOV,DATAXFER,0,0,0,0,0,R[],W[11]
140594635320946,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
140594635320991,CMP,BINARY,0,0,0,0,0,R[10],W[25]
140594635320995,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635320997,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
140594635321001,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
140594635321005,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
140594635321009,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140594635321012,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635321014,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
140594635321017,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635320952,MOV,DATAXFER,0,0,0,0,0,R[3],W[4]
140594635320955,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140594635320958,CMP,BINARY,0,0,0,0,0,R[4],W[25]
140594635320962,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635320968,MOV,DATAXFER,0,0,0,0,0,R[11],W[4]
140594635320971,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140594635320974,MOV,DATAXFER,0,0,0,1,0,R[9 4 8],W[]
140594635320978,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
140594635320982,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
140594635320986,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140594635320989,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635320991,CMP,BINARY,0,0,0,0,0,R[10],W[25]
140594635320995,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635321456,LEA,MISC,0,0,0,0,0,R[10 10],W[4]
140594635321459,MOV,DATAXFER,0,0,0,0,0,R[4],W[17]
140594635321462,SAR,SHIFT,0,0,0,0,0,R[17],W[17 25]
140594635321465,CMP,BINARY,0,0,0,0,0,R[4],W[25]
140594635321468,JBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635321470,MOV,DATAXFER,0,0,0,0,0,R[12],W[10]
140594635321473,SUB,BINARY,0,0,0,0,0,R[10 17],W[10 25]
140594635321476,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
140594635321480,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
140594635321488,MOV,DATAXFER,0,0,0,0,0,R[13],W[4]
140594635321491,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140594635321494,CMP,BINARY,0,0,0,0,0,R[4],W[25]
140594635321498,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635321504,MOV,DATAXFER,0,0,0,0,0,R[14],W[4]
140594635321507,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140594635321510,MOV,DATAXFER,0,0,0,1,0,R[9 4 8],W[]
140594635321514,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
140594635321872,MOV,DATAXFER,0,0,0,0,0,R[7],W[4]
140594635321875,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140594635321878,CMP,BINARY,0,0,0,0,0,R[4],W[25]
140594635321882,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140594635321888,MOV,DATAXFER,0,0,0,0,0,R[16],W[4]
