Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
139893116137728,MOV,DATAXFER,0,0,0,0,0,R[6],W[3]
139893116137731,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
139893116141040,NOP,WIDENOP,0,0,0,0,0,R[8 3],W[]
139893116141044,PUSH,PUSH,0,0,0,1,0,R[5 6],W[6]
139893116141045,MOV,DATAXFER,0,0,0,0,0,R[6],W[5]
139893116141048,PUSH,PUSH,0,0,0,1,0,R[18 6],W[6]
139893116141050,MOV,DATAXFER,0,0,0,0,0,R[3],W[18]
139893116141053,PUSH,PUSH,0,0,0,1,0,R[17 6],W[6]
139893116141055,PUSH,PUSH,0,0,0,1,0,R[16 6],W[6]
139893116141057,PUSH,PUSH,0,0,0,1,0,R[15 6],W[6]
139893116141059,PUSH,PUSH,0,0,0,1,0,R[7 6],W[6]
139893116141060,SUB,BINARY,0,0,0,0,0,R[6],W[6 25]
139893116141064,RDTSC,SYSTEM,0,0,0,0,0,R[],W[10 8]
139893116141066,SHL,SHIFT,0,0,0,0,0,R[8],W[8 25]
139893116141070,OR,LOGICAL,0,0,0,0,0,R[10 8],W[10 25]
139893116141073,LEA,MISC,0,0,0,0,0,R[26],W[8]
139893116141080,MOV,DATAXFER,0,0,0,1,0,R[26 10],W[]
139893116141087,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141094,MOV,DATAXFER,0,0,0,0,0,R[8],W[15]
139893116141097,SUB,BINARY,0,0,1,0,0,R[15 26],W[15 25]
139893116141104,MOV,DATAXFER,0,0,0,1,0,R[26 8],W[]
139893116141111,MOV,DATAXFER,0,0,0,1,0,R[26 15],W[]
139893116141118,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141121,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141123,MOV,DATAXFER,0,0,0,0,0,R[],W[3]
139893116141128,MOV,DATAXFER,0,0,0,0,0,R[],W[13]
139893116141134,MOV,DATAXFER,0,0,0,0,0,R[],W[7]
139893116141139,MOV,DATAXFER,0,0,0,0,0,R[],W[16]
139893116141145,LEA,MISC,0,0,0,0,0,R[26],W[9]
139893116141152,MOV,DATAXFER,0,0,0,0,0,R[],W[14]
139893116141158,MOV,DATAXFER,0,0,0,0,0,R[],W[12]
139893116141164,MOV,DATAXFER,0,0,0,0,0,R[],W[11]
139893116141170,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
139893116141215,CMP,BINARY,0,0,0,0,0,R[10],W[25]
139893116141219,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141221,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
139893116141225,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
139893116141229,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
139893116141233,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141236,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141238,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
139893116141241,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141176,MOV,DATAXFER,0,0,0,0,0,R[3],W[4]
139893116141179,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139893116141182,CMP,BINARY,0,0,0,0,0,R[4],W[25]
139893116141186,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141192,MOV,DATAXFER,0,0,0,0,0,R[11],W[4]
139893116141195,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139893116141198,MOV,DATAXFER,0,0,0,1,0,R[9 4 8],W[]
139893116141202,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
139893116141206,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
139893116141210,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141213,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141215,CMP,BINARY,0,0,0,0,0,R[10],W[25]
139893116141219,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141680,LEA,MISC,0,0,0,0,0,R[10 10],W[4]
139893116141683,MOV,DATAXFER,0,0,0,0,0,R[4],W[17]
139893116141686,SAR,SHIFT,0,0,0,0,0,R[17],W[17 25]
139893116141689,CMP,BINARY,0,0,0,0,0,R[4],W[25]
139893116141692,JBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141694,MOV,DATAXFER,0,0,0,0,0,R[12],W[10]
139893116141697,SUB,BINARY,0,0,0,0,0,R[10 17],W[10 25]
139893116141700,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
139893116141704,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
139893116141712,MOV,DATAXFER,0,0,0,0,0,R[13],W[4]
139893116141715,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139893116141718,CMP,BINARY,0,0,0,0,0,R[4],W[25]
139893116141722,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141728,MOV,DATAXFER,0,0,0,0,0,R[14],W[4]
139893116141731,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139893116141734,MOV,DATAXFER,0,0,0,1,0,R[9 4 8],W[]
139893116141738,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
139893116142096,MOV,DATAXFER,0,0,0,0,0,R[7],W[4]
139893116142099,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139893116142102,CMP,BINARY,0,0,0,0,0,R[4],W[25]
139893116142106,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116142112,MOV,DATAXFER,0,0,0,0,0,R[16],W[4]
139893116142115,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139893116142118,MOV,DATAXFER,0,0,0,0,0,R[4],W[10]
139893116142121,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
139893116142125,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
139893116141225,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
139893116141229,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
139893116141233,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141236,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141238,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
139893116141241,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141247,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141254,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141257,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141238,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
139893116141241,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141247,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141254,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141257,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141259,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
139893116141263,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141270,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141273,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141275,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
139893116141279,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141286,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141289,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141291,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
139893116141295,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141302,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141305,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141307,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
139893116141311,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141318,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141321,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141323,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
139893116141327,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141334,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141337,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141339,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
139893116141343,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141350,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141353,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141355,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
139893116141359,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141366,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141369,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141371,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
139893116141375,MOV,DATAXFER,0,0,1,0,0,R[26],W[8]
139893116141382,TEST,LOGICAL,0,0,0,0,0,R[8 8],W[25]
139893116141385,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141387,CMP,BINARY,0,0,1,0,0,R[8],W[25]
139893116141392,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141398,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141405,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141408,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141410,MOV,DATAXFER,0,0,1,0,0,R[26],W[9]
139893116141417,CMP,BINARY,0,0,1,0,0,R[9],W[25]
139893116141422,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141428,MOV,DATAXFER,0,0,1,0,0,R[26],W[9]
139893116141435,TEST,LOGICAL,0,0,0,0,0,R[9 9],W[25]
139893116141438,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141440,TEST,LOGICAL,0,0,1,0,0,R[9],W[25]
139893116141448,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141454,MOV,DATAXFER,0,0,1,0,0,R[26],W[9]
139893116141461,TEST,LOGICAL,0,0,0,0,0,R[9 9],W[25]
139893116141464,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141466,TEST,LOGICAL,0,0,1,0,0,R[9],W[25]
139893116141474,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141480,CMP,BINARY,0,0,1,0,0,R[26],W[25]
139893116141488,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141480,CMP,BINARY,0,0,1,0,0,R[26],W[25]
139893116141488,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141494,CMP,BINARY,0,0,1,0,0,R[26],W[25]
139893116141502,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141508,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
139893116141511,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141744,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139893116141747,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141753,MOV,DATAXFER,0,0,1,0,0,R[10],W[3]
139893116141757,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139893116141764,MOV,DATAXFER,0,0,1,0,0,R[26],W[11]
139893116141771,MOV,DATAXFER,0,0,1,0,0,R[10],W[9]
139893116141775,MOV,DATAXFER,0,0,0,0,0,R[3],W[7]
139893116141778,MOV,DATAXFER,0,0,0,0,0,R[3],W[10]
139893116141781,LEA,MISC,0,0,0,0,0,R[3 9],W[4]
139893116141785,TEST,LOGICAL,0,0,0,0,0,R[11 11],W[25]
139893116141788,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141790,MOV,DATAXFER,0,0,1,0,0,R[11],W[11]
139893116141794,LEA,MISC,0,0,0,0,0,R[11 11],W[11]
139893116141798,LEA,MISC,0,0,0,0,0,R[3 11],W[7]
139893116141802,TEST,LOGICAL,0,0,0,0,0,R[8 8],W[25]
139893116141805,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141807,MOV,DATAXFER,0,0,1,0,0,R[26],W[8]
139893116141814,MOV,DATAXFER,0,0,1,0,0,R[26],W[11]
139893116141821,ADD,BINARY,0,0,0,0,0,R[9 3],W[9 25]
139893116141824,MOV,DATAXFER,0,0,1,0,0,R[8],W[8]
139893116141828,MOV,DATAXFER,0,0,1,0,0,R[11],W[14]
139893116141832,ADD,BINARY,0,0,0,0,0,R[14 8],W[14 25]
139893116141835,ADD,BINARY,0,0,0,0,0,R[9 8],W[9 25]
139893116141838,CMP,BINARY,0,0,0,0,0,R[14 4],W[25]
139893116141841,CMOVNZ,CMOV,0,0,0,0,0,R[9 25],W[4]
139893116141845,MOV,DATAXFER,0,0,1,0,0,R[26],W[8]
139893116141852,MOV,DATAXFER,0,0,1,0,0,R[8],W[3]
139893116141856,CMP,BINARY,0,0,0,0,0,R[10 7],W[25]
139893116141859,JNB,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141861,NOP,WIDENOP,0,0,0,0,0,R[10 10],W[]
139893116141864,MOV,DATAXFER,0,0,1,0,0,R[10],W[8]
139893116141867,ADD,BINARY,0,0,0,0,0,R[8 15],W[8 25]
139893116141870,CMP,BINARY,0,0,1,0,0,R[10],W[25]
139893116141874,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141880,MOV,DATAXFER,0,0,1,0,0,R[10],W[9]
139893116141884,ADD,BINARY,0,0,0,0,0,R[10],W[10 25]
139893116141888,ADD,BINARY,0,0,0,0,0,R[9 15],W[9 25]
139893116141891,MOV,DATAXFER,0,0,0,1,0,R[8 9],W[]
139893116141894,CMP,BINARY,0,0,0,0,0,R[10 7],W[25]
139893116141897,JB,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141864,MOV,DATAXFER,0,0,1,0,0,R[10],W[8]
139893116141867,ADD,BINARY,0,0,0,0,0,R[8 15],W[8 25]
139893116141870,CMP,BINARY,0,0,1,0,0,R[10],W[25]
139893116141874,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139893116141880,MOV,DATAXFER,0,0,1,0,0,R[10],W[9]
139893116141884,ADD,BINARY,0,0,0,0,0,R[10],W[10 25]
139893116141888,ADD,BINARY,0,0,0,0,0,R[9 15],W[9 25]
139893116141891,MOV,DATAXFER,0,0,0,1,0,R[8 9],W[]
139893116141894,CMP,BINARY,0,0,0,0,0,R[10 7],W[25]
139893116141897,JB,COND_BR,1,1,0,0,0,R[26 25],W[26]
