Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
140026843091200,MOV,DATAXFER,0,0,0,0,0,R[6],W[3]
140026843091203,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
140026843094512,NOP,WIDENOP,0,0,0,0,0,R[8 3],W[]
140026843094516,PUSH,PUSH,0,0,0,1,0,R[5 6],W[6]
140026843094517,MOV,DATAXFER,0,0,0,0,0,R[6],W[5]
140026843094520,PUSH,PUSH,0,0,0,1,0,R[18 6],W[6]
140026843094522,MOV,DATAXFER,0,0,0,0,0,R[3],W[18]
140026843094525,PUSH,PUSH,0,0,0,1,0,R[17 6],W[6]
140026843094527,PUSH,PUSH,0,0,0,1,0,R[16 6],W[6]
140026843094529,PUSH,PUSH,0,0,0,1,0,R[15 6],W[6]
140026843094531,PUSH,PUSH,0,0,0,1,0,R[7 6],W[6]
140026843094532,SUB,BINARY,0,0,0,0,0,R[6],W[6 25]
140026843094536,RDTSC,SYSTEM,0,0,0,0,0,R[],W[10 8]
140026843094538,SHL,SHIFT,0,0,0,0,0,R[8],W[8 25]
140026843094542,OR,LOGICAL,0,0,0,0,0,R[10 8],W[10 25]
140026843094545,LEA,MISC,0,0,0,0,0,R[26],W[8]
140026843094552,MOV,DATAXFER,0,0,0,1,0,R[26 10],W[]
140026843094559,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094566,MOV,DATAXFER,0,0,0,0,0,R[8],W[15]
140026843094569,SUB,BINARY,0,0,1,0,0,R[15 26],W[15 25]
140026843094576,MOV,DATAXFER,0,0,0,1,0,R[26 8],W[]
140026843094583,MOV,DATAXFER,0,0,0,1,0,R[26 15],W[]
140026843094590,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094593,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094595,MOV,DATAXFER,0,0,0,0,0,R[],W[3]
140026843094600,MOV,DATAXFER,0,0,0,0,0,R[],W[13]
140026843094606,MOV,DATAXFER,0,0,0,0,0,R[],W[7]
140026843094611,MOV,DATAXFER,0,0,0,0,0,R[],W[16]
140026843094617,LEA,MISC,0,0,0,0,0,R[26],W[9]
140026843094624,MOV,DATAXFER,0,0,0,0,0,R[],W[14]
140026843094630,MOV,DATAXFER,0,0,0,0,0,R[],W[12]
140026843094636,MOV,DATAXFER,0,0,0,0,0,R[],W[11]
140026843094642,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
140026843094687,CMP,BINARY,0,0,0,0,0,R[10],W[25]
140026843094691,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094693,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
140026843094697,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
140026843094701,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
140026843094705,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094708,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094710,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
140026843094713,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094648,MOV,DATAXFER,0,0,0,0,0,R[3],W[4]
140026843094651,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140026843094654,CMP,BINARY,0,0,0,0,0,R[4],W[25]
140026843094658,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094664,MOV,DATAXFER,0,0,0,0,0,R[11],W[4]
140026843094667,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140026843094670,MOV,DATAXFER,0,0,0,1,0,R[9 4 8],W[]
140026843094674,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
140026843094678,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
140026843094682,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094685,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094687,CMP,BINARY,0,0,0,0,0,R[10],W[25]
140026843094691,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843095152,LEA,MISC,0,0,0,0,0,R[10 10],W[4]
140026843095155,MOV,DATAXFER,0,0,0,0,0,R[4],W[17]
140026843095158,SAR,SHIFT,0,0,0,0,0,R[17],W[17 25]
140026843095161,CMP,BINARY,0,0,0,0,0,R[4],W[25]
140026843095164,JBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843095166,MOV,DATAXFER,0,0,0,0,0,R[12],W[10]
140026843095169,SUB,BINARY,0,0,0,0,0,R[10 17],W[10 25]
140026843095172,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
140026843095176,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
140026843095184,MOV,DATAXFER,0,0,0,0,0,R[13],W[4]
140026843095187,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140026843095190,CMP,BINARY,0,0,0,0,0,R[4],W[25]
140026843095194,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843095200,MOV,DATAXFER,0,0,0,0,0,R[14],W[4]
140026843095203,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140026843095206,MOV,DATAXFER,0,0,0,1,0,R[9 4 8],W[]
140026843095210,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
140026843095568,MOV,DATAXFER,0,0,0,0,0,R[7],W[4]
140026843095571,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140026843095574,CMP,BINARY,0,0,0,0,0,R[4],W[25]
140026843095578,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843095584,MOV,DATAXFER,0,0,0,0,0,R[16],W[4]
140026843095587,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140026843095590,MOV,DATAXFER,0,0,0,0,0,R[4],W[10]
140026843095593,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
140026843095597,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
140026843094697,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
140026843094701,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
140026843094705,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094708,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094710,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
140026843094713,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094719,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094726,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094729,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094710,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
140026843094713,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094719,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094726,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094729,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094731,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
140026843094735,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094742,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094745,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094747,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
140026843094751,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094758,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094761,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094763,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
140026843094767,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094774,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094777,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094779,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
140026843094783,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094790,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094793,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094795,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
140026843094799,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094806,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094809,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094811,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
140026843094815,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094822,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094825,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094827,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
140026843094831,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140026843094838,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140026843094841,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140026843094843,ADD,BINARY,0,0,1,1,0,R[10 15],W[25]
140026843094847,MOV,DATAXFER,0,0,1,0,0,R[26],W[8]
