Address,INS,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
140399714402560,"mov rdi, rsp",MOV,DATAXFER,0,0,0,0,0,R[6 ],W[3 ]
140399714402563,"call 0x7fb15b1a8df0",CALL_NEAR,CALL,0,1,0,1,1,R[26 6 ],W[26 6 6M ]
140399714405872,"nop edx, edi",NOP,WIDENOP,0,0,0,0,0,R[8 3 ],W[]
140399714405876,"push rbp",PUSH,PUSH,0,0,0,1,0,R[5 6 ],W[6 6M ]
140399714405877,"mov rbp, rsp",MOV,DATAXFER,0,0,0,0,0,R[6 ],W[5 ]
140399714405880,"push r15",PUSH,PUSH,0,0,0,1,0,R[18 6 ],W[6 6M ]
140399714405882,"mov r15, rdi",MOV,DATAXFER,0,0,0,0,0,R[3 ],W[18 ]
140399714405885,"push r14",PUSH,PUSH,0,0,0,1,0,R[17 6 ],W[6 6M ]
140399714405887,"push r13",PUSH,PUSH,0,0,0,1,0,R[16 6 ],W[6 6M ]
140399714405889,"push r12",PUSH,PUSH,0,0,0,1,0,R[15 6 ],W[6 6M ]
140399714405891,"push rbx",PUSH,PUSH,0,0,0,1,0,R[7 6 ],W[6 6M ]
140399714405892,"sub rsp, 0x38",SUB,BINARY,0,0,0,0,0,R[6 ],W[6 25 ]
140399714405896,"rdtsc ",RDTSC,SYSTEM,0,0,0,0,0,R[],W[10 8 ]
140399714405898,"shl rdx, 0x20",SHL,SHIFT,0,0,0,0,0,R[8 ],W[8 25 ]
140399714405902,"or rax, rdx",OR,LOGICAL,0,0,0,0,0,R[10 8 ],W[10 25 ]
140399714405905,"lea rdx, ptr [rip+0x2c050]",LEA,MISC,0,0,0,0,0,R[26 ],W[8 ]
140399714405912,"mov qword ptr [rip+0x2b7c1], rax",MOV,DATAXFER,0,0,0,1,0,R[26 10 ],W[178139M ]
140399714405919,"mov rax, qword ptr [rip+0x2c042]",MOV,DATAXFER,0,0,1,0,0,R[26 180316M ],W[10 ]
140399714405926,"mov r12, rdx",MOV,DATAXFER,0,0,0,0,0,R[8 ],W[15 ]
140399714405929,"sub r12, qword ptr [rip+0x2c1d0]",SUB,BINARY,0,0,1,0,0,R[15 26 180714M ],W[15 25 ]
140399714405936,"mov qword ptr [rip+0x2cbc1], rdx",MOV,DATAXFER,0,0,0,1,0,R[26 8 ],W[183259M ]
140399714405943,"mov qword ptr [rip+0x2cbaa], r12",MOV,DATAXFER,0,0,0,1,0,R[26 15 ],W[183236M ]
140399714405950,"test rax, rax",TEST,LOGICAL,0,0,0,0,0,R[10 10 ],W[25 ]
