Address,INS,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
140681593848064,"mov rdi, rsp",MOV,DATAXFER,0,0,0,0,0,R[6 ],W[3 ]
140681593848067,"call 0x7ff2fc6d8df0",CALL_NEAR,CALL,0,1,0,1,1,R[26 6 ],W[26 6 6M ]
140681593851376,"nop edx, edi",NOP,WIDENOP,0,0,0,0,0,R[8 3 ],W[]
140681593851380,"push rbp",PUSH,PUSH,0,0,0,1,0,R[5 6 ],W[6 6M ]
140681593851381,"mov rbp, rsp",MOV,DATAXFER,0,0,0,0,0,R[6 ],W[5 ]
140681593851384,"push r15",PUSH,PUSH,0,0,0,1,0,R[18 6 ],W[6 6M ]
140681593851386,"mov r15, rdi",MOV,DATAXFER,0,0,0,0,0,R[3 ],W[18 ]
140681593851389,"push r14",PUSH,PUSH,0,0,0,1,0,R[17 6 ],W[6 6M ]
140681593851391,"push r13",PUSH,PUSH,0,0,0,1,0,R[16 6 ],W[6 6M ]
140681593851393,"push r12",PUSH,PUSH,0,0,0,1,0,R[15 6 ],W[6 6M ]
140681593851395,"push rbx",PUSH,PUSH,0,0,0,1,0,R[7 6 ],W[6 6M ]
140681593851396,"sub rsp, 0x38",SUB,BINARY,0,0,0,0,0,R[6 ],W[6 25 ]
140681593851400,"rdtsc ",RDTSC,SYSTEM,0,0,0,0,0,R[],W[10 8 ]
140681593851402,"shl rdx, 0x20",SHL,SHIFT,0,0,0,0,0,R[8 ],W[8 25 ]
140681593851406,"or rax, rdx",OR,LOGICAL,0,0,0,0,0,R[10 8 ],W[10 25 ]
140681593851409,"lea rdx, ptr [rip+0x2c050]",LEA,MISC,0,0,0,0,0,R[26 ],W[8 ]
140681593851416,"mov qword ptr [rip+0x2b7c1], rax",MOV,DATAXFER,0,0,0,1,0,R[26 10 ],W[178139M ]
140681593851423,"mov rax, qword ptr [rip+0x2c042]",MOV,DATAXFER,0,0,1,0,0,R[26 180316M ],W[10 ]
140681593851430,"mov r12, rdx",MOV,DATAXFER,0,0,0,0,0,R[8 ],W[15 ]
140681593851433,"sub r12, qword ptr [rip+0x2c1d0]",SUB,BINARY,0,0,1,0,0,R[15 26 180714M ],W[15 25 ]
140681593851440,"mov qword ptr [rip+0x2cbc1], rdx",MOV,DATAXFER,0,0,0,1,0,R[26 8 ],W[183259M ]
140681593851447,"mov qword ptr [rip+0x2cbaa], r12",MOV,DATAXFER,0,0,0,1,0,R[26 15 ],W[183236M ]
140681593851454,"test rax, rax",TEST,LOGICAL,0,0,0,0,0,R[10 10 ],W[25 ]
140681593851457,"jz 0x7ff2fc6d8eb6",JZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851459,"mov edi, 0x6fffffff",MOV,DATAXFER,0,0,0,0,0,R[],W[3 ]
140681593851464,"mov r10d, 0x6ffffdff",MOV,DATAXFER,0,0,0,0,0,R[],W[13 ]
140681593851470,"mov ebx, 0x6ffffeff",MOV,DATAXFER,0,0,0,0,0,R[],W[7 ]
140681593851475,"mov r13d, 0x6fffff41",MOV,DATAXFER,0,0,0,0,0,R[],W[16 ]
140681593851481,"lea rcx, ptr [rip+0x2cbc8]",LEA,MISC,0,0,0,0,0,R[26 ],W[9 ]
140681593851488,"mov r11d, 0x6ffffe35",MOV,DATAXFER,0,0,0,0,0,R[],W[14 ]
140681593851494,"mov r9d, 0x32",MOV,DATAXFER,0,0,0,0,0,R[],W[12 ]
140681593851500,"mov r8d, 0x70000022",MOV,DATAXFER,0,0,0,0,0,R[],W[11 ]
140681593851506,"jmp 0x7ff2fc6d8e9f",JMP,UNCOND_BR,1,1,0,0,0,R[26 ],W[26 ]
140681593851551,"cmp rax, 0x22",CMP,BINARY,0,0,0,0,0,R[10 ],W[25 ]
140681593851555,"jnbe 0x7ff2fc6d8e78",JNBE,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851557,"mov qword ptr [rcx+rax*8], rdx",MOV,DATAXFER,0,0,0,1,0,R[9 10 8 ],W[89M ]
140681593851561,"mov rax, qword ptr [rdx+0x10]",MOV,DATAXFER,0,0,1,0,0,R[8 24M ],W[10 ]
140681593851565,"add rdx, 0x10",ADD,BINARY,0,0,0,0,0,R[8 ],W[8 25 ]
140681593851569,"test rax, rax",TEST,LOGICAL,0,0,0,0,0,R[10 10 ],W[25 ]
140681593851572,"jnz 0x7ff2fc6d8e9f",JNZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851574,"test r12, r12",TEST,LOGICAL,0,0,0,0,0,R[15 15 ],W[25 ]
140681593851577,"jz 0x7ff2fc6d8f3f",JZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851512,"mov rsi, rdi",MOV,DATAXFER,0,0,0,0,0,R[3 ],W[4 ]
140681593851515,"sub rsi, rax",SUB,BINARY,0,0,0,0,0,R[4 10 ],W[4 25 ]
140681593851518,"cmp rsi, 0xf",CMP,BINARY,0,0,0,0,0,R[4 ],W[25 ]
140681593851522,"jnbe 0x7ff2fc6d9070",JNBE,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851528,"mov rsi, r8",MOV,DATAXFER,0,0,0,0,0,R[11 ],W[4 ]
140681593851531,"sub rsi, rax",SUB,BINARY,0,0,0,0,0,R[4 10 ],W[4 25 ]
140681593851534,"mov qword ptr [rcx+rsi*8], rdx",MOV,DATAXFER,0,0,0,1,0,R[9 4 8 ],W[41M ]
140681593851538,"mov rax, qword ptr [rdx+0x10]",MOV,DATAXFER,0,0,1,0,0,R[8 24M ],W[10 ]
140681593851542,"add rdx, 0x10",ADD,BINARY,0,0,0,0,0,R[8 ],W[8 25 ]
140681593851546,"test rax, rax",TEST,LOGICAL,0,0,0,0,0,R[10 10 ],W[25 ]
140681593851549,"jz 0x7ff2fc6d8eb6",JZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851551,"cmp rax, 0x22",CMP,BINARY,0,0,0,0,0,R[10 ],W[25 ]
140681593851555,"jnbe 0x7ff2fc6d8e78",JNBE,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593852016,"lea esi, ptr [rax+rax*1]",LEA,MISC,0,0,0,0,0,R[10 10 ],W[4 ]
140681593852019,"mov r14d, esi",MOV,DATAXFER,0,0,0,0,0,R[4 ],W[17 ]
140681593852022,"sar r14d, 0x1",SAR,SHIFT,0,0,0,0,0,R[17 ],W[17 25 ]
140681593852025,"cmp esi, 0xfffffff8",CMP,BINARY,0,0,0,0,0,R[4 ],W[25 ]
140681593852028,"jbe 0x7ff2fc6d9090",JBE,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593852030,"mov eax, r9d",MOV,DATAXFER,0,0,0,0,0,R[12 ],W[10 ]
140681593852033,"sub eax, r14d",SUB,BINARY,0,0,0,0,0,R[10 17 ],W[10 25 ]
140681593852036,"mov qword ptr [rcx+rax*8], rdx",MOV,DATAXFER,0,0,0,1,0,R[9 10 8 ],W[89M ]
140681593852040,"jmp 0x7ff2fc6d8e92",JMP,UNCOND_BR,1,1,0,0,0,R[26 ],W[26 ]
140681593852048,"mov rsi, r10",MOV,DATAXFER,0,0,0,0,0,R[13 ],W[4 ]
140681593852051,"sub rsi, rax",SUB,BINARY,0,0,0,0,0,R[4 10 ],W[4 25 ]
140681593852054,"cmp rsi, 0xb",CMP,BINARY,0,0,0,0,0,R[4 ],W[25 ]
140681593852058,"jnbe 0x7ff2fc6d9210",JNBE,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593852064,"mov rsi, r11",MOV,DATAXFER,0,0,0,0,0,R[14 ],W[4 ]
140681593852067,"sub rsi, rax",SUB,BINARY,0,0,0,0,0,R[4 10 ],W[4 25 ]
140681593852070,"mov qword ptr [rcx+rsi*8], rdx",MOV,DATAXFER,0,0,0,1,0,R[9 4 8 ],W[41M ]
140681593852074,"jmp 0x7ff2fc6d8e92",JMP,UNCOND_BR,1,1,0,0,0,R[26 ],W[26 ]
140681593852432,"mov rsi, rbx",MOV,DATAXFER,0,0,0,0,0,R[7 ],W[4 ]
140681593852435,"sub rsi, rax",SUB,BINARY,0,0,0,0,0,R[4 10 ],W[4 25 ]
140681593852438,"cmp rsi, 0xa",CMP,BINARY,0,0,0,0,0,R[4 ],W[25 ]
140681593852442,"jnbe 0x7ff2fc6d8e92",JNBE,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593852448,"mov rsi, r13",MOV,DATAXFER,0,0,0,0,0,R[16 ],W[4 ]
140681593852451,"sub rsi, rax",SUB,BINARY,0,0,0,0,0,R[4 10 ],W[4 25 ]
140681593852454,"mov rax, rsi",MOV,DATAXFER,0,0,0,0,0,R[4 ],W[10 ]
140681593852457,"mov qword ptr [rcx+rax*8], rdx",MOV,DATAXFER,0,0,0,1,0,R[9 10 8 ],W[89M ]
140681593852461,"jmp 0x7ff2fc6d8ea9",JMP,UNCOND_BR,1,1,0,0,0,R[26 ],W[26 ]
140681593851561,"mov rax, qword ptr [rdx+0x10]",MOV,DATAXFER,0,0,1,0,0,R[8 24M ],W[10 ]
140681593851565,"add rdx, 0x10",ADD,BINARY,0,0,0,0,0,R[8 ],W[8 25 ]
140681593851569,"test rax, rax",TEST,LOGICAL,0,0,0,0,0,R[10 10 ],W[25 ]
140681593851572,"jnz 0x7ff2fc6d8e9f",JNZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851574,"test r12, r12",TEST,LOGICAL,0,0,0,0,0,R[15 15 ],W[25 ]
140681593851577,"jz 0x7ff2fc6d8f3f",JZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851583,"mov rax, qword ptr [rip+0x2cb82]",MOV,DATAXFER,0,0,1,0,0,R[26 183196M ],W[10 ]
140681593851590,"test rax, rax",TEST,LOGICAL,0,0,0,0,0,R[10 10 ],W[25 ]
140681593851593,"jz 0x7ff2fc6d8ecf",JZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851574,"test r12, r12",TEST,LOGICAL,0,0,0,0,0,R[15 15 ],W[25 ]
140681593851577,"jz 0x7ff2fc6d8f3f",JZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851583,"mov rax, qword ptr [rip+0x2cb82]",MOV,DATAXFER,0,0,1,0,0,R[26 183196M ],W[10 ]
140681593851590,"test rax, rax",TEST,LOGICAL,0,0,0,0,0,R[10 10 ],W[25 ]
140681593851593,"jz 0x7ff2fc6d8ecf",JZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851595,"add qword ptr [rax+0x8], r12",ADD,BINARY,0,0,1,1,0,R[10 15 18M ],W[25 18M ]
140681593851599,"mov rax, qword ptr [rip+0x2cb6a]",MOV,DATAXFER,0,0,1,0,0,R[26 183172M ],W[10 ]
140681593851606,"test rax, rax",TEST,LOGICAL,0,0,0,0,0,R[10 10 ],W[25 ]
140681593851609,"jz 0x7ff2fc6d8edf",JZ,COND_BR,1,1,0,0,0,R[26 25 ],W[26 ]
140681593851611,"add qword ptr [rax+0x8], r12",ADD,BINARY,0,0,1,1,0,R[10 15 18M ],W[25 18M ]
140681593851615,"mov rax, qword ptr [rip+0x2cb6a]",MOV,DATAXFER,0,0,1,0,0,R[26 183172M ],W[10 ]
140681593851622,"test rax, rax",TEST,LOGICAL,0,0,0,0,0,R[10 10 ],W[25 ]
