Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
139628097859840,MOV,DATAXFER,0,0,0,0,0,R[6],W[3]
139628097859843,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
139628097863152,NOP,WIDENOP,0,0,0,0,0,R[8 3],W[]
139628097863156,PUSH,PUSH,0,0,0,1,0,R[5 6],W[6]
139628097863157,MOV,DATAXFER,0,0,0,0,0,R[6],W[5]
139628097863160,PUSH,PUSH,0,0,0,1,0,R[18 6],W[6]
139628097863162,MOV,DATAXFER,0,0,0,0,0,R[3],W[18]
139628097863165,PUSH,PUSH,0,0,0,1,0,R[17 6],W[6]
139628097863167,PUSH,PUSH,0,0,0,1,0,R[16 6],W[6]
139628097863169,PUSH,PUSH,0,0,0,1,0,R[15 6],W[6]
139628097863171,PUSH,PUSH,0,0,0,1,0,R[7 6],W[6]
139628097863172,SUB,BINARY,0,0,0,0,0,R[6],W[6 25]
139628097863176,RDTSC,SYSTEM,0,0,0,0,0,R[],W[10 8]
139628097863178,SHL,SHIFT,0,0,0,0,0,R[8],W[8 25]
139628097863182,OR,LOGICAL,0,0,0,0,0,R[10 8],W[10 25]
139628097863185,LEA,MISC,0,0,0,0,0,R[26],W[8]
139628097863192,MOV,DATAXFER,0,0,0,1,0,R[26 10],W[]
139628097863199,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
139628097863206,MOV,DATAXFER,0,0,0,0,0,R[8],W[15]
139628097863209,SUB,BINARY,0,0,1,0,0,R[15 26],W[15 25]
139628097863216,MOV,DATAXFER,0,0,0,1,0,R[26 8],W[]
139628097863223,MOV,DATAXFER,0,0,0,1,0,R[26 15],W[]
139628097863230,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139628097863233,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139628097863235,MOV,DATAXFER,0,0,0,0,0,R[],W[3]
139628097863240,MOV,DATAXFER,0,0,0,0,0,R[],W[13]
139628097863246,MOV,DATAXFER,0,0,0,0,0,R[],W[7]
139628097863251,MOV,DATAXFER,0,0,0,0,0,R[],W[16]
139628097863257,LEA,MISC,0,0,0,0,0,R[26],W[9]
139628097863264,MOV,DATAXFER,0,0,0,0,0,R[],W[14]
139628097863270,MOV,DATAXFER,0,0,0,0,0,R[],W[12]
139628097863276,MOV,DATAXFER,0,0,0,0,0,R[],W[11]
139628097863282,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
139628097863327,CMP,BINARY,0,0,0,0,0,R[10],W[25]
139628097863331,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139628097863333,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
139628097863337,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
139628097863341,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
139628097863345,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139628097863348,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139628097863350,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
139628097863353,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139628097863288,MOV,DATAXFER,0,0,0,0,0,R[3],W[4]
139628097863291,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139628097863294,CMP,BINARY,0,0,0,0,0,R[4],W[25]
139628097863298,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139628097863304,MOV,DATAXFER,0,0,0,0,0,R[11],W[4]
139628097863307,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139628097863310,MOV,DATAXFER,0,0,0,1,0,R[9 4 8],W[]
139628097863314,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
139628097863318,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
139628097863322,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
139628097863325,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
139628097863327,CMP,BINARY,0,0,0,0,0,R[10],W[25]
139628097863331,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139628097863792,LEA,MISC,0,0,0,0,0,R[10 10],W[4]
139628097863795,MOV,DATAXFER,0,0,0,0,0,R[4],W[17]
139628097863798,SAR,SHIFT,0,0,0,0,0,R[17],W[17 25]
139628097863801,CMP,BINARY,0,0,0,0,0,R[4],W[25]
139628097863804,JBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139628097863806,MOV,DATAXFER,0,0,0,0,0,R[12],W[10]
139628097863809,SUB,BINARY,0,0,0,0,0,R[10 17],W[10 25]
139628097863812,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
139628097863816,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
139628097863824,MOV,DATAXFER,0,0,0,0,0,R[13],W[4]
139628097863827,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139628097863830,CMP,BINARY,0,0,0,0,0,R[4],W[25]
139628097863834,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
139628097863840,MOV,DATAXFER,0,0,0,0,0,R[14],W[4]
139628097863843,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139628097863846,MOV,DATAXFER,0,0,0,1,0,R[9 4 8],W[]
139628097863850,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
139628097864208,MOV,DATAXFER,0,0,0,0,0,R[7],W[4]
139628097864211,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
139628097864214,CMP,BINARY,0,0,0,0,0,R[4],W[25]
