Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
140315161706752,MOV,DATAXFER,0,0,0,0,0,R[6],W[3]
140315161706755,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
140315161710064,NOP,WIDENOP,0,0,0,0,0,R[8 3],W[]
140315161710068,PUSH,PUSH,0,0,0,1,0,R[5 6],W[6]
140315161710069,MOV,DATAXFER,0,0,0,0,0,R[6],W[5]
140315161710072,PUSH,PUSH,0,0,0,1,0,R[18 6],W[6]
140315161710074,MOV,DATAXFER,0,0,0,0,0,R[3],W[18]
140315161710077,PUSH,PUSH,0,0,0,1,0,R[17 6],W[6]
140315161710079,PUSH,PUSH,0,0,0,1,0,R[16 6],W[6]
140315161710081,PUSH,PUSH,0,0,0,1,0,R[15 6],W[6]
140315161710083,PUSH,PUSH,0,0,0,1,0,R[7 6],W[6]
140315161710084,SUB,BINARY,0,0,0,0,0,R[6],W[6 25]
140315161710088,RDTSC,SYSTEM,0,0,0,0,0,R[],W[10 8]
140315161710090,SHL,SHIFT,0,0,0,0,0,R[8],W[8 25]
140315161710094,OR,LOGICAL,0,0,0,0,0,R[10 8],W[10 25]
140315161710097,LEA,MISC,0,0,0,0,0,R[26],W[8]
140315161710104,MOV,DATAXFER,0,0,0,1,0,R[26 10],W[]
140315161710111,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
140315161710118,MOV,DATAXFER,0,0,0,0,0,R[8],W[15]
140315161710121,SUB,BINARY,0,0,1,0,0,R[15 26],W[15 25]
140315161710128,MOV,DATAXFER,0,0,0,1,0,R[26 8],W[]
140315161710135,MOV,DATAXFER,0,0,0,1,0,R[26 15],W[]
140315161710142,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140315161710145,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140315161710147,MOV,DATAXFER,0,0,0,0,0,R[],W[3]
140315161710152,MOV,DATAXFER,0,0,0,0,0,R[],W[13]
140315161710158,MOV,DATAXFER,0,0,0,0,0,R[],W[7]
140315161710163,MOV,DATAXFER,0,0,0,0,0,R[],W[16]
140315161710169,LEA,MISC,0,0,0,0,0,R[26],W[9]
140315161710176,MOV,DATAXFER,0,0,0,0,0,R[],W[14]
140315161710182,MOV,DATAXFER,0,0,0,0,0,R[],W[12]
140315161710188,MOV,DATAXFER,0,0,0,0,0,R[],W[11]
140315161710194,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
140315161710239,CMP,BINARY,0,0,0,0,0,R[10],W[25]
140315161710243,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140315161710245,MOV,DATAXFER,0,0,0,1,0,R[9 10 8],W[]
140315161710249,MOV,DATAXFER,0,0,1,0,0,R[8],W[10]
140315161710253,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
140315161710257,TEST,LOGICAL,0,0,0,0,0,R[10 10],W[25]
140315161710260,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140315161710262,TEST,LOGICAL,0,0,0,0,0,R[15 15],W[25]
140315161710265,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
140315161710200,MOV,DATAXFER,0,0,0,0,0,R[3],W[4]
140315161710203,SUB,BINARY,0,0,0,0,0,R[4 10],W[4 25]
140315161710206,CMP,BINARY,0,0,0,0,0,R[4],W[25]
140315161710210,JNBE,COND_BR,1,1,0,0,0,R[26 25],W[26]
140315161710216,MOV,DATAXFER,0,0,0,0,0,R[11],W[4]
